STORM NAME,LANDFALL DATE,format change,excel order date,DAMAGE RANK,CURRENT DAMAGE.2012,BASE DAMAGE,LANDFALL STATE,CATEGORY,WmaxLandfall
Storm 7 in 1944,"Sep 14,1944","Sep 14, 1944",16329,36,"8,320,000,000","10,000,000",NC,2,105
Storm 11 in 1944,"Oct 19,1944","Oct 19, 1944",16364,6,"48,850,000,000","63,000,000",FL,1,75
Storm 11 in 1944,"Oct 20,1944","Oct 20, 1944",16365,63,"3,890,000,000","37,000,000",SC,0,60
Storm 5 in 1945,"Aug 27,1945","Aug 27, 1945",16676,81,"2,170,000,000","20,000,000",TX,4,140
Storm 9 in 1945,"Sep 15,1945","Sep 15, 1945",16695,24,"15,110,000,000","60,000,000",FL,4,140
Storm 5 in 1946,"Oct 07,1946","Oct 07, 1946",17082,105,"1,190,000,000","5,200,000",FL,1,75
Storm 6 in 1946,"Nov 01,1946","Nov 01, 1946",17107,55,"4,710,000,000","7,000,000",FL,0,45
Storm 3 in 1947,"Aug 24,1947","Aug 24, 1947",17403,210,"31,000,000","200,000",TX,1,80
Storm 4 in 1947,"Sep 17,1947","Sep 17, 1947",17427,22,"17,220,000,000","31,000,000",FL,4,155
Storm 4 in 1947,"Sep 19,1947","Sep 19, 1947",17429,67,"3,540,000,000","79,000,000",LA,1,90
Storm 6 in 1947,"Sep 23,1947","Sep 23, 1947",17433,211,"31,000,000","100,000",FL,0,58
Storm 7 in 1947,"Oct 06,1947","Oct 06, 1947",17446,222,"13,000,000","100,000",FL,0,45
Storm 8 in 1947,"Oct 11,1947","Oct 11, 1947",17451,50,"5,170,000,000","20,000,000",FL,1,80
Storm 8 in 1947,"Oct 15,1947","Oct 15, 1947",17455,158,"220,000,000","3,000,000",GA,1,85
Storm 5 in 1948,"Sep 04,1948","Sep 04, 1948",17780,204,"45,000,000","900,000",LA,1,75
Storm 7 in 1948,"Sep 21,1948","Sep 21, 1948",17797,58,"4,390,000,000","12,000,000",FL,3,120
Storm 8 in 1948,"Oct 05,1948","Oct 05, 1948",17811,116,"850,000,000","5,500,000",FL,3,130
Storm 2 in 1949,"Aug 26,1949","Aug 26, 1949",18136,17,"18,930,000,000","52,000,000",FL,4,150
Storm 10 in 1949,"Oct 04,1949","Oct 04, 1949",18175,115,"900,000,000","6,700,000",TX,4,130
Easy,"Sep 04,1950","Sep 04, 1950",18510,96,"1,360,000,000","3,300,000",FL,3,120
King,"Oct 17,1950","Oct 17, 1950",18553,49,"5,610,000,000","28,000,000",FL,2,110
How,"Oct 02,1951","Oct 02, 1951",18903,110,"1,070,000,000","2,000,000",FL,0,70
Able,"Aug 30,1952","Aug 30, 1952",19236,174,"140,000,000","2,750,000",SC,2,105
Barbara,"Aug 13,1953","Aug 13, 1953",19584,198,"58,000,000","1,000,000",NC,2,105
Florence,"Sep 26,1953","Sep 26, 1953",19628,221,"15,000,000","200,000",FL,1,90
Carol,"Aug 30,1954","Aug 30, 1954",19966,208,"33,000,000","227,500",NC,2,100
Carol,"Aug 31,1954","Aug 31, 1954",19967,16,"19,240,000,000","460,000,000",NY,2,100
Edna,"Sep 11,1954","Sep 11, 1954",19978,65,"3,820,000,000","40,000,000",MA,1,90
Hazel,"Oct 18,1954","Oct 18, 1954",20015,13,"21,750,000,000","281,000,000",SC,3,130
Connie,"Aug 12,1955","Aug 12, 1955",20313,82,"2,160,000,000","40,000,000",NC,1,80
Diane,"Aug 17,1955","Aug 17, 1955",20318,27,"13,460,000,000","200,000,000",NC,1,85
Diane,"Aug 19,1955","Aug 19, 1955",20320,12,"24,040,000,000","600,000,000",NY,0,65
Ione,"Sep 19,1955","Sep 19, 1955",20351,45,"6,590,000,000","88,035,000",NC,2,105
Flossy,"Sep 24,1956","Sep 24, 1956",20722,89,"1,610,000,000","25,000,000",LA,1,90
Audrey,"Jun 27,1957","Jun 27, 1957",20998,57,"4,490,000,000","150,000,000",TX,4,145
Esther,"Sep 18,1957","Sep 18, 1957",21081,200,"53,000,000","1,500,000",LA,0,50
Helene,"Sep 27,1958","Sep 27, 1958",21455,132,"540,000,000","11,200,000",NC,3,125
Arlene,"May 30,1959","May 30, 1959",21700,223,"11,000,000","500,000",LA,0,45
Not Named 1959,"Jun 18,1959","Jun 18, 1959",21719,185,"91,000,000","1,656,000",FL,-1,35
Debra,"Jul 25,1959","Jul 25, 1959",21756,140,"400,000,000","7,000,000",TX,1,85
Gracie,"Sep 29,1959","Sep 29, 1959",21822,138,"460,000,000","14,000,000",SC,3,120
Not Named 1960,"Jun 23,1960","Jun 23, 1960",22090,183,"94,000,000","3,600,000",TX,0,40
Brenda,"Jul 28,1960","Jul 28, 1960",22125,143,"360,000,000","5,000,000",FL,-1,35
Donna,"Sep 10,1960","Sep 10, 1960",22169,7,"46,550,000,000","300,000,000",FL,4,140
Donna,"Sep 11,1960","Sep 11, 1960",22170,78,"2,360,000,000","56,500,000",NC,2,110
Donna,"Sep 14,1960","Sep 14, 1960",22173,117,"850,000,000","30,000,000",NY,2,105
Ethel,"Sep 15,1960","Sep 15, 1960",22174,206,"38,000,000","1,060,000",MS,0,70
Carla,"Sep 11,1961","Sep 11, 1961",22535,25,"15,060,000,000","325,000,000",TX,4,145
Esther,"Sep 21,1961","Sep 21, 1961",22545,144,"360,000,000","6,000,000",MA,0,45
Alma,"Aug 28,1962","Aug 28, 1962",22886,205,"43,000,000","1,000,000",NC,0,40
Daisy,"Oct 07,1962","Oct 07, 1962",22926,217,"25,000,000","1,100,000",ME,0,60
Cindy,"Sep 17,1963","Sep 17, 1963",23271,150,"290,000,000","12,560,000",TX,1,75
Abby,"Aug 07,1964","Aug 07, 1964",23596,212,"30,000,000","750,000",TX,0,65
Cleo,"Aug 27,1964","Aug 27, 1964",23616,43,"6,700,000,000","128,500,000",FL,2,105
Dora,"Sep 09,1964","Sep 09, 1964",23629,23,"15,420,000,000","250,000,000",FL,3,115
Hilda,"Oct 03,1964","Oct 03, 1964",23653,73,"2,580,000,000","125,000,000",LA,2,110
Isabel,"Oct 14,1964","Oct 14, 1964",23664,120,"820,000,000","10,000,000",FL,3,125
Betsy,"Sep 08,1965","Sep 08, 1965",23993,68,"3,310,000,000","139,300,000",FL,3,125
Betsy,"Sep 09,1965","Sep 09, 1965",23994,14,"20,900,000,000","1,280,500,000",LA,4,155
Debbie,"Sep 30,1965","Sep 30, 1965",24015,130,"560,000,000","25,000,000",MS,-1,35
Alma,"Jun 09,1966","Jun 09, 1966",24267,125,"610,000,000","10,050,000",FL,1,90
Inez,"Oct 04,1966","Oct 04, 1966",24384,180,"110,000,000","5,000,000",FL,1,85
Beulah,"Sep 20,1967","Sep 20, 1967",24735,51,"4,890,000,000","200,000,000",TX,5,160
Abby,"Jun 04,1968","Jun 04, 1968",24993,209,"32,000,000","450,000",FL,0,70
Candy,"Jun 23,1968","Jun 23, 1968",25012,195,"61,000,000","3,000,000",TX,0,70
Gladys,"Oct 18,1968","Oct 18, 1968",25129,122,"740,000,000","6,700,000",FL,1,80
Camille,"Aug 17,1969","Aug 17, 1969",25432,10,"26,570,000,000","1,421,000,000",LA,5,190
Celia,"Aug 03,1970","Aug 03, 1970",25783,42,"6,850,000,000","454,000,000",TX,3,125
Doria,"Aug 27,1971","Aug 27, 1971",26172,77,"2,400,000,000","147,350,000",NC,0,65
